"nom";"fichier";"est_diagramme";"est_preview";"chemin_source";"chemin_destination"
"discrete";"discrete.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\discrete.png";"icons-study/07-icones-sources/sysml1/discrete.png"
"discreteparameter";"discreteparameter.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\discreteparameter.png";"icons-study/07-icones-sources/sysml1/discreteparameter.png"
"distributedproperty";"distributedproperty.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\distributedproperty.png";"icons-study/07-icones-sources/sysml1/distributedproperty.png"
"elementimport";"elementimport.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\elementimport.png";"icons-study/07-icones-sources/sysml1/elementimport.png"
"enumeration";"enumeration.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\enumeration.png";"icons-study/07-icones-sources/sysml1/enumeration.png"
"enumerationliteral";"enumerationliteral.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\enumerationliteral.png";"icons-study/07-icones-sources/sysml1/enumerationliteral.png"
"flowport_in";"flowport_in.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\flowport_in.png";"icons-study/07-icones-sources/sysml1/flowport_in.png"
"flowport_indiagram";"flowport_indiagram.png";"oui";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\flowport_indiagram.png";"icons-study/07-icones-sources/sysml1/flowport_indiagram.png"
"flowport_inout";"flowport_inout.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\flowport_inout.png";"icons-study/07-icones-sources/sysml1/flowport_inout.png"
"flowport_inoutdiagram";"flowport_inoutdiagram.png";"oui";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\flowport_inoutdiagram.png";"icons-study/07-icones-sources/sysml1/flowport_inoutdiagram.png"
"flowport_out";"flowport_out.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\flowport_out.png";"icons-study/07-icones-sources/sysml1/flowport_out.png"
"flowport_outdiagram";"flowport_outdiagram.png";"oui";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\flowport_outdiagram.png";"icons-study/07-icones-sources/sysml1/flowport_outdiagram.png"
"flowproperty";"flowproperty.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\flowproperty.png";"icons-study/07-icones-sources/sysml1/flowproperty.png"
"flowspecification";"flowspecification.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\flowspecification.png";"icons-study/07-icones-sources/sysml1/flowspecification.png"
"flowspecification48";"flowspecification48.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\flowspecification48.png";"icons-study/07-icones-sources/sysml1/flowspecification48.png"
"generalization";"generalization.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\generalization.png";"icons-study/07-icones-sources/sysml1/generalization.png"
"informationflow";"informationflow.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\informationflow.png";"icons-study/07-icones-sources/sysml1/informationflow.png"
"interaction";"interaction.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\interaction.png";"icons-study/07-icones-sources/sysml1/interaction.png"
"interface";"interface.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\interface.png";"icons-study/07-icones-sources/sysml1/interface.png"
"interfacerealization";"interfacerealization.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\interfacerealization.png";"icons-study/07-icones-sources/sysml1/interfacerealization.png"
"internalblockdiagram";"internalblockdiagram.png";"oui";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\internalblockdiagram.png";"icons-study/07-icones-sources/sysml1/internalblockdiagram.png"
"itemflow";"itemflow.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\itemflow.png";"icons-study/07-icones-sources/sysml1/itemflow.png"
"link_delegate";"link_delegate.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\link_delegate.png";"icons-study/07-icones-sources/sysml1/link_delegate.png"
"naryassociation";"naryassociation.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\naryassociation.png";"icons-study/07-icones-sources/sysml1/naryassociation.png"
"narylink";"narylink.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\narylink.png";"icons-study/07-icones-sources/sysml1/narylink.png"
"note";"note.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\note.png";"icons-study/07-icones-sources/sysml1/note.png"
"operation";"operation.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\operation.png";"icons-study/07-icones-sources/sysml1/operation.png"
"optional";"optional.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\optional.png";"icons-study/07-icones-sources/sysml1/optional.png"
"package";"package.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\package.png";"icons-study/07-icones-sources/sysml1/package.png"
"packagediagram";"packagediagram.png";"oui";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\packagediagram.png";"icons-study/07-icones-sources/sysml1/packagediagram.png"
"packageimport";"packageimport.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\packageimport.png";"icons-study/07-icones-sources/sysml1/packageimport.png"
"packagemerge";"packagemerge.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\packagemerge.png";"icons-study/07-icones-sources/sysml1/packagemerge.png"
"parameter";"parameter.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\parameter.png";"icons-study/07-icones-sources/sysml1/parameter.png"
"parameterreturn";"parameterreturn.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\parameterreturn.png";"icons-study/07-icones-sources/sysml1/parameterreturn.png"
"parametricdiagram";"parametricdiagram.png";"oui";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\parametricdiagram.png";"icons-study/07-icones-sources/sysml1/parametricdiagram.png"
"part";"part.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\part.png";"icons-study/07-icones-sources/sysml1/part.png"
